id_palavra;palavra;dica
46;extra;Algo que ultrapassa o limite normal ou que é adicional.
47;total;Valor que representa a soma de todas as partes de um conjunto.
48;ideal;Modelo de perfeição ou algo que é buscado como objetivo máximo.
49;selva;Ecossistema com vegetação densa e muitos animais selvagens.
50;abate;Redução no preço de algo ou o ato de matar animais para consumo.
51;unico;Algo que é sem igual, raro ou que não tem semelhantes.
52;corpo;Estrutura física de um ser vivo ou a parte principal de um texto.
53;agora;Indica o exato momento presente em que se fala.
54;estar;Verbo que define uma condição temporária ou localização no espaço.
55;calma;Estado de tranquilidade e ausência de agitação ou barulho.
56;balda;Defeito ou vício, muito comum em animais de carga.
57;bruxa;Personagem do folclore conhecida por fazer feitiços e voar em vassouras.
58;usado;Objeto que já teve outro dono ou que não é mais novo.
59;adito;Acréscimo ou algo que foi somado a uma conta ou contrato.
60;suave;Sensação tátil agradável, como a de um tecido delicado.
61;juizo;Capacidade humana de julgar com sabedoria ou decisão de um magistrado.
62;serio;Alguém que não brinca ou algo que exige muita atenção e cuidado.
63;braga;Sobrenome comum ou cidade importante ao norte de Portugal.
64;bones;Acessórios usados na cabeça para proteger os olhos do sol.
65;denso;Algo que possui muita massa em pouco volume ou é muito espesso.
66;humor;Estado de espírito de uma pessoa ou capacidade de achar graça.
67;afixo;Aquilo que é fixo ou algo que se anexa ao radical de uma palavra.
68;asilo;Instituição que acolhe idosos ou pessoas que buscam proteção política.
69;hiena;Animal carnívoro da savana conhecido por seu som semelhante a uma risada.
70;uncao;Rito religioso que utiliza óleos sagrados, comum em enfermos.
71;beato;Pessoa extremamente devota ou que foi beatificada pela igreja.
72;algum;Pronome que indica uma quantidade ou pessoa não especificada.
73;possa;Verbo que indica capacidade, permissão ou possibilidade de algo.
74;vazio;Local que não contém nada em seu interior ou falta de conteúdo.
75;digno;Alguém que merece respeito ou que possui nobreza de caráter.
76;banca;Mesa de feira, guichê de apostas ou conjunto de examinadores.
77;saber;Ato de ter conhecimento sobre algo ou possuir uma habilidade.
78;venia;Pedido de licença ou perdão por algo dito ou feito.
79;junta;Grupo de pessoas reunidas para uma finalidade ou conexão de peças.
80;avela;Pequeno fruto de casca dura muito usado em doces e chocolates.
81;uniao;Estado de quem está unido ou associação de pessoas e estados.
82;beber;Ato de ingerir líquidos para saciar a sede ou por prazer.
83;ponto;Marca mínima feita com caneta ou lugar específico em um mapa.
84;criar;Verbo que significa dar existência a algo novo ou inventar.
85;zelos;Cuidado extremo e dedicação ao realizar uma tarefa ou proteger algo.
86;horda;Grande grupo de pessoas ou bando nômade com intenções hostis.
87;xelim;Antiga moeda britânica que circulava antes da decimalização.
88;pleno;Algo que está completo, inteiro ou em seu estágio máximo.
89;duplo;O que é composto por duas partes iguais ou o dobro de algo.
90;outro;Refere-se a uma pessoa ou coisa diferente da que se mencionou.
91;tarde;Período do dia que vai do meio-dia até o pôr do sol.
92;ideia;Pensamento que surge na mente ou plano para realizar algo.
93;broca;Ferramenta usada para fazer furos em superfícies duras como paredes.
94;beira;Margem de um rio ou limite extremo de uma superfície.
95;barca;Embarcação de grande porte ou veículo usado para travessias.
96;azado;Algo que é oportuno, favorável ou que tem asas.
97;exodo;Saída em massa de um povo de seu território por necessidade.
98;secao;Divisão de um órgão público, loja ou parte de um texto.
99;peixe;Animal vertebrado aquático que respira por guelras.
100;exame;Teste de conhecimento ou avaliação médica detalhada.
101;balde;Recipiente com alça usado para carregar água ou outros líquidos.
102;boina;Tipo de chapéu arredondado e sem abas, muito usado por militares.
103;banda;Grupo de músicos que tocam juntos ou tira de tecido.
104;nossa;Pronome possessivo que indica que algo pertence a nós.
105;casto;Alguém que se abstém de prazeres carnais ou é puro.
106;danca;Arte de movimentar o corpo seguindo o ritmo de uma música.
107;desde;Indica o ponto de partida no tempo ou no espaço.
108;assim;Advérbio usado para indicar que algo é feito de tal maneira.
109;ordem;Estado de organização ou comando vindo de uma autoridade.
110;abril;Quarto mês do ano, conhecido pelas chuvas e pela Páscoa.
111;zinco;Metal azulado usado para revestir ferro e evitar a corrosão.
112;horta;Pequeno terreno destinado ao cultivo de legumes e hortaliças.
113;bruta;Mulher que é rude ou algo que ainda não foi lapidado.
114;idoso;Pessoa que possui idade avançada e muita experiência de vida.
115;golpe;Ato de bater com força ou uma estratégia para derrubar um governo.
116;sagaz;Pessoa que percebe as coisas rapidamente e tem raciocínio astuto.
117;bolha;Esfera de ar dentro de um líquido ou na superfície da pele.
118;atroz;Algo que é cruel, desumano ou extremamente violento.
119;bruto;Objeto no seu estado natural ou pessoa sem educação.
120;bingo;Jogo de sorte onde se marcam números em uma cartela.
121;afago;Ato de carinho feito com as mãos, como um cafuné.
122;poder;Capacidade de mandar ou exercer influência sobre outros.
123;borda;Margem externa de um objeto ou extremidade de uma folha.
124;banho;Ato de lavar o corpo por higiene ou relaxamento.
125;broto;Nova planta que começa a crescer ou pessoa muito jovem.
126;breca;Termo antigo para uma parada brusca ou defeito mecânico.
127;xarda;Tipo de mancha na pele ou defeito em superfícies metálicas.
128;beata;Mulher que vive de forma religiosa ou finge muita virtude.
129;zebra;Mamífero africano com listras brancas e pretas pelo corpo.
130;razao;Capacidade humana de raciocinar ou motivo de um ato.
131;abeto;Árvore de madeira resistente muito usada para fazer móveis.
132;apice;Ponto mais alto de uma montanha ou o auge de uma carreira.
133;brasa;Pedaço de carvão ou madeira que ainda queima sem flama.
134;lente;Peça de vidro ou plástico usada para corrigir a visão.
135;tenue;Algo que é muito fino, delicado ou difícil de perceber.
136;animo;Estado de disposição, coragem ou vontade de fazer algo.
137;aureo;Cor de ouro ou algo que é brilhante e valioso.
138;doido;Alguém que perdeu a sanidade mental ou que está apaixonado.
139;dizer;Verbo usado para expressar pensamentos por meio de palavras.
140;metro;Unidade de medida fundamental para comprimento no sistema métrico.
141;sabio;Alguém que possui muito conhecimento e experiência acumulada.
142;basta;Indica que algo é suficiente ou ordem para parar uma ação.
143;anjos;Seres celestiais mensageiros presentes em diversas religiões.
144;forma;Configuração externa de um objeto ou maneira de se organizar.
145;manga;Fruta tropical doce ou parte da roupa que cobre o braço.
146;feroz;Animal que ataca com violência ou pessoa muito brava.
147;acido;Substância química com sabor azedo que corrói metais.
148;manso;Alguém que é tranquilo, dócil e fácil de lidar.
149;ferro;Metal cinza muito resistente usado em construções e ferramentas.
150;solar;Relativo ao sol ou sistema de captação de energia luminosa.
151;barco;Veículo aquático usado para transporte em rios e mares.
152;tenaz;Alguém que é persistente e não desiste facilmente de um plano.
153;risco;Possibilidade de perigo ou de algo não dar certo.
154;clima;Condições atmosféricas médias de uma região ao longo do tempo.
155;zumbi;Criatura fictícia que revive e se alimenta de humanos.
156;grupo;Conjunto de pessoas ou objetos com características comuns.
157;kilos;Forma coloquial de se referir a uma medida de peso.
158;wafer;Tipo de biscoito fino e crocante com várias camadas.
159;jogar;Participar de uma competição esportiva ou diversão com regras.
160;valor;Preço de algo ou qualidade moral de uma pessoa.
161;ileso;Alguém que saiu de um acidente sem sofrer nenhum ferimento.
162;breve;Algo que dura pouco tempo ou que é resumido.
163;cobra;Réptil sem patas que se rasteja e pode ser venenoso.
164;haste;Parte longa de uma planta ou suporte de uma bandeira.
165;wisky;Bebida alcoólica destilada feita de cereais, muito popular.
166;lapis;Objeto de escrita com grafite protegido por madeira.
167;radar;Equipamento que detecta objetos à distância por ondas de rádio.
168;xerox;Processo de reprodução idêntica de documentos em papel.
169;borra;Resto de café no fundo da xícara ou sujeira acumulada.
170;chuva;Fenômeno meteorológico de precipitação de água das nuvens.
171;algoz;Pessoa que executa uma sentença de morte ou causa sofrimento.
172;doado;Algo que foi entregue gratuitamente para ajudar alguém.
173;quota;Parte que cabe a cada um em uma partilha ou limite de algo.
174;nivel;Grau de altura, intensidade ou posição em uma escala.
175;truta;Peixe de água doce muito apreciado na gastronomia.
176;braco;Membro superior do corpo humano que vai do ombro à mão.
177;macro;Prefixo que indica algo que é muito grande ou visível a olho nu.
178;dogma;Ponto fundamental de uma doutrina que não admite dúvida.
179;raiva;Sentimento de fúria ou doença transmitida por mordida de animais.
180;zelar;Ter cuidado com algo ou vigiar para que nada aconteça.
181;unido;Aquilo que está junto ou que possui um propósito comum.
182;abuso;Uso incorreto ou excessivo de um poder ou substância.
183;anexo;Documento ou objeto que é enviado junto com outro.
184;viver;Estar vivo ou aproveitar a existência de forma plena.
185;igual;Algo que não apresenta diferença quando comparado a outro.
186;chulo;Linguagem grosseira, baixa ou sem nenhum refinamento.
187;falar;Ato de emitir sons vocais para se comunicar com alguém.
188;rural;Relativo ao campo ou à vida fora das grandes cidades.
189;orfao;Criança que perdeu o pai, a mãe ou ambos os progenitores.
190;amora;Fruta pequena e escura, muito usada em geleias e sucos.
191;bloco;Pedaço sólido de algo ou conjunto de prédios em uma rua.
192;reger;Verbo que significa governar ou dirigir conforme as leis.
193;bucha;Objeto usado para limpeza ou peça de metal para vedação.
194;rumor;Som vago e baixo que se ouve de longe ou fofoca.
195;baixa;Diminuição de valor ou parte funda de uma região.
196;inato;Qualidade que já nasce com o indivíduo e não foi aprendida.
197;mutua;Algo que é recíproco ou compartilhado entre duas partes.
198;bucho;Estômago de animais ruminantes, usado como alimento humano.
199;itens;Cada uma das unidades que compõem uma lista ou estoque.
200;xisto;Rocha sedimentar que pode ser usada como fonte de energia.
201;balsa;Embarcação plana usada para transportar carros e pessoas em rios.
202;visto;Autorização em passaporte ou algo que foi observado.
203;heroi;Pessoa que realiza atos de grande coragem e sacrifício.
204;ontem;Refere-se ao dia que precedeu imediatamente o dia de hoje.
205;banal;Algo que é comum, sem importância ou muito repetido.
206;watts;Unidade de medida de potência elétrica em um sistema.
207;baque;Som de algo pesado caindo ou choque emocional forte.
208;lugar;Espaço ocupado por algo ou uma localidade específica.
209;yenes;Unidade monetária oficial utilizada no Japão.
210;geral;Algo que atinge a todos ou que não é detalhado.
211;oeste;Ponto cardeal onde o sol se esconde no horizonte.
212;trens;Meios de transporte ferroviários compostos por vários vagões.
213;bolsa;Acessório usado para carregar pertences ou mercado de valores.
214;kendo;Arte marcial japonesa que utiliza espadas de bambu.
215;fazer;Verbo que indica a execução de uma tarefa ou ação.
216;amplo;Algo que possui grandes dimensões ou muita abrangência.
217;mudar;Ato de transformar algo ou sair de uma condição para outra.
218;vento;Movimento do ar na atmosfera que pode ser brisa ou vendaval.
219;jurar;Afirmar algo com solenidade, muitas vezes invocando o divino.
220;honra;Princípio de integridade e respeito conquistado por alguém.
221;verba;Quantia em dinheiro destinada a um fim específico.
222;belos;Adjetivo plural para coisas que agradam esteticamente.
223;bolso;Pequena bolsa costurada nas roupas para guardar objetos.
224;bamba;Alguém que é muito bom em algo ou que está vacilante.
225;nuvem;Massa visível de vapor de água suspensa na atmosfera.
226;bolas;Objetos esféricos usados em diversos esportes e jogos.
227;alibi;Prova de que uma pessoa estava em outro lugar na hora do crime.
228;quais;Pronome usado para selecionar elementos de um grupo.
229;aluno;Pessoa que frequenta uma escola para adquirir conhecimento.
230;justo;Alguém que age com imparcialidade e de acordo com a lei.
231;salto;Movimento de elevar o corpo do chão ou peça de calçados.
232;morte;Fim da vida biológica de um ser vivo ou término de algo.
233;bocha;Jogo que consiste em arremessar bolas de madeira perto de um alvo.
234;bravo;Pessoa corajosa que não demonstra medo diante do perigo.
235;aluna;Mulher ou menina que se dedica aos estudos em uma escola.
236;junco;Planta que cresce em áreas úmidas, usada para fazer cestos.
237;sonho;Imagens e sensações que ocorrem na mente durante o sono.
238;vigor;Força física, energia ou validade jurídica de uma lei.
239;alado;Ser que possui asas ou algo que se desloca pelo ar.
240;brito;Pedra fragmentada usada em pavimentação e construção civil.
241;sutil;Algo que é delicado, engenhoso ou difícil de ser notado.
242;focar;Ajustar a visão para ver melhor ou concentrar-se em um objetivo.
243;vasto;Algo que é muito extenso, amplo ou sem limites visíveis.
244;andor;Suporte usado para carregar imagens religiosas em procissões.
245;canto;Ato de emitir melodia com a voz ou ângulo de uma sala.
246;banjo;Instrumento musical de cordas muito usado no samba e country.
247;senda;Caminho estreito ou direção que se deve seguir na vida.
248;jeito;Modo particular de fazer algo ou aparência de uma pessoa.
249;agudo;Som muito alto e fino ou algo que termina em ponta.
250;bispo;Membro do alto clero na hierarquia da igreja católica.
251;meigo;Pessoa carinhosa, dócil e que trata os outros com suavidade.
252;bossa;Estilo musical brasileiro ou protuberância nas costas.
253;peito;Parte frontal do tronco humano ou coragem para enfrentar algo.
254;lance;Movimento rápido em uma luta ou oferta em um leilão.
255;donde;Advérbio interrogativo sobre a origem de algo ou alguém.
256;acima;Em posição superior a algo ou no andar de mais alto.
257;vocal;Relativo à voz humana ou sons produzidos pelas cordas vocais.
258;frase;Conjunto de palavras que expressa um pensamento completo.
259;jovem;Alguém que está na fase da vida entre a infância e a idade adulta.
260;afiar;Tornar um objeto cortante mais afiado usando uma pedra.
261;alias;Palavra usada para introduzir uma explicação adicional.
262;bomba;Dispositivo feito para explodir ou equipamento para puxar água.
263;ouvir;Perceber sons pelo ouvido ou prestar atenção ao que é dito.
264;grito;Som vocal muito alto emitido em situações de dor ou susto.
265;navio;Embarcação de grande porte que viaja por oceanos.
266;briga;Conflito entre pessoas com agressões verbais ou físicas.
267;antes;Indica um tempo anterior ou uma posição adiantada.
268;epoca;Período de tempo marcado por eventos ou costumes específicos.
269;moeda;Peça de metal cunhada que serve como dinheiro físico.
270;filme;Obra audiovisual composta por uma sequência de imagens.
271;abono;Pagamento extra dado a um funcionário ou perdão de falta.
272;brava;Mulher valente ou mar que apresenta ondas muito fortes.
273;aneis;Peças circulares usadas nos dedos como adorno ou compromisso.
274;prata;Metal precioso de cor cinza brilhante usado em joias.
275;aonde;Advérbio que indica o destino de um movimento ou ação.
276;aviso;Mensagem enviada para informar alguém sobre algo importante.
277;fundo;Parte mais baixa de um recipiente ou a base de algo.
278;abano;Objeto usado para movimentar o ar e refrescar o rosto.
279;adubo;Substância colocada na terra para ajudar as plantas a crescerem.
280;graca;Favor concedido gratuitamente ou elegância nos movimentos.
281;troca;Ato de dar uma coisa em troca de outra ou substituição.
282;quilo;Unidade de medida de massa equivalente a mil gramas.
283;banco;Instituição financeira ou móvel longo para várias pessoas sentarem.
284;nunca;Advérbio que nega a ocorrência de algo em qualquer tempo.
285;brejo;Terreno muito úmido e cheio de lama, comum em várzeas.
286;beijo;Toque de lábios em alguém como sinal de afeto ou saudação.
287;botao;Pequena peça usada para fechar roupas ou acionar máquinas.
288;tunel;Passagem subterrânea ou cavada através de uma montanha.
289;brisa;Vento muito suave e agradável que sopra levemente.
290;moral;Conjunto de regras que orientam o comportamento em sociedade.
291;xeque;Situação no xadrez onde o rei está sob ataque direto.
292;preso;Alguém que teve sua liberdade privada e está em uma cela.
293;favor;Ato de gentileza feito para ajudar alguém sem obrigação.
294;bobos;Pessoas que agem com falta de inteligência ou infantilidade.
295;atras;Indica uma posição na parte traseira de algo ou alguém.
296;anual;Algo que acontece ou é publicado uma vez a cada ano.
297;glosa;Comentário explicativo sobre um texto ou interpretação.
298;pauta;Lista de assuntos que serão discutidos em uma reunião.
299;amago;A parte mais íntima, profunda ou central de algo.
300;anglo;Relativo aos países que possuem o inglês como língua oficial.
